id,source,dest,submit_tick,pickup_tick,dropoff_tick,wait_time,travel_time,total_time,elevator
passenger370,2,1,125,139,142,14,3,17,1
passenger371,21,1,125,134,156,9,22,31,2
passenger372,5,1,125,126,174,1,48,49,3
passenger373,4,1,125,154,211,29,57,86,4
passenger374,15,1,126,131,177,5,46,51,5
passenger375,4,1,126,148,169,22,21,43,6
passenger376,17,1,126,165,197,39,32,71,7
passenger377,15,1,126,222,246,96,24,120,8
passenger378,17,1,126,168,210,42,42,84,9
passenger379,13,1,126,144,192,18,48,66,10
passenger380,20,1,126,161,190,35,29,64,11
passenger381,17,1,127,156,194,29,38,67,12
passenger382,11,1,127,147,161,20,14,34,13
passenger383,2,1,128,149,206,21,57,78,14
passenger384,8,1,128,203,216,75,13,88,15
passenger385,5,1,129,138,146,9,8,17,0
passenger386,2,1,129,145,208,16,63,79,1
passenger387,8,1,130,167,216,37,49,86,2
passenger388,6,1,130,167,174,37,7,44,3
passenger389,3,1,131,151,211,20,60,80,4
passenger390,9,1,131,189,243,58,54,112,5
passenger391,14,1,131,212,231,81,19,100,6
passenger392,6,1,132,146,197,14,51,65,7
passenger393,8,1,132,173,196,41,23,64,8
passenger394,2,1,133,147,210,14,63,77,9
passenger395,3,1,133,196,200,63,4,67,10
passenger396,5,1,133,138,190,5,52,57,11
passenger397,12,1,133,145,194,12,49,61,12
passenger398,17,1,133,137,161,4,24,28,13
passenger399,20,1,133,181,206,48,25,73,14
passenger400,17,1,134,152,174,18,22,40,15
passenger401,16,1,135,169,212,34,43,77,0
passenger402,24,1,135,179,208,44,29,73,1
passenger403,8,1,136,167,216,31,49,80,2
passenger404,21,1,136,204,242,68,38,106,3
passenger405,24,1,136,186,211,50,25,75,4
passenger406,15,1,136,161,177,25,16,41,5
passenger407,22,1,136,266,289,130,23,153,6
passenger408,5,1,136,143,197,7,54,61,7
passenger409,23,1,137,282,310,145,28,173,8
passenger410,15,1,137,164,210,27,46,73,9
passenger411,7,1,138,210,218,72,8,80,10
passenger412,3,1,138,184,190,46,6,52,11
passenger413,19,1,138,160,194,22,34,56,12
passenger414,12,1,139,144,161,5,17,22,13
passenger415,9,1,139,160,206,21,46,67,14
passenger416,11,1,140,162,174,22,12,34,15
passenger417,25,1,140,958,984,818,26,844,0
passenger418,12,1,141,159,208,18,49,67,1
passenger419,3,1,141,160,216,19,56,75,2
passenger420,8,1,142,163,174,21,11,32,3
passenger421,5,1,142,157,211,15,54,69,4
passenger422,18,1,142,154,177,12,23,35,5
passenger423,21,1,142,263,289,121,26,147,6
passenger424,22,1,142,232,259,90,27,117,7
passenger425,17,1,143,266,310,123,44,167,8
passenger426,20,1,144,175,210,31,35,66,9
passenger427,12,1,144,233,248,89,15,104,10
passenger428,17,1,144,154,190,10,36,46,11
passenger429,4,1,144,199,204,55,5,60,12
passenger430,14,1,144,178,223,34,45,79,13
passenger431,15,1,145,170,206,25,36,61,14
passenger432,2,1,145,177,194,32,17,49,15
passenger433,15,1,145,166,212,21,46,67,0
passenger434,19,1,145,170,208,25,38,63,1
passenger435,10,1,145,171,216,26,45,71,2
passenger436,15,1,146,152,174,6,22,28,3
passenger437,8,1,146,164,211,18,47,65,4
passenger438,8,1,147,186,243,39,57,96,5
passenger439,5,1,147,151,169,4,18,22,6
passenger440,9,1,147,151,197,4,46,50,7
passenger441,21,1,148,276,310,128,34,162,8
passenger442,24,1,149,249,276,100,27,127,9
passenger443,17,1,149,152,192,3,40,43,10
passenger444,16,1,149,151,190,2,39,41,11
passenger445,16,1,149,153,194,4,41,45,12
passenger446,13,1,150,175,223,25,48,73,13
passenger447,12,1,150,165,206,15,41,56,14
passenger448,16,1,150,155,174,5,19,24,15
passenger449,20,1,150,175,212,25,37,62,0
passenger450,11,1,150,156,208,6,52,58,1
passenger451,15,1,151,178,216,27,38,65,2
passenger452,13,1,151,156,174,5,18,23,3
passenger453,8,1,151,164,211,13,47,60,4
passenger454,8,1,151,186,243,35,57,92,5
passenger455,3,1,151,165,169,14,4,18,6
passenger456,12,1,151,156,197,5,41,46,7
passenger457,19,1,152,272,310,120,38,158,8
passenger458,18,1,152,171,210,19,39,58,9
passenger459,25,1,152,1001,1027,849,26,875,10
passenger460,2,1,152,187,190,35,3,38,11
passenger461,20,1,152,163,194,11,31,42,12
passenger462,21,1,152,193,223,41,30,71,13
passenger463,12,1,153,165,206,12,41,53,14
passenger464,8,1,153,203,216,50,13,63,15
passenger465,10,1,153,157,212,4,55,59,0
passenger466,18,1,155,167,208,12,41,53,1
passenger467,22,1,155,189,216,34,27,61,2
passenger468,17,1,155,198,242,43,44,87,3
passenger469,14,1,155,172,211,17,39,56,4
passenger470,17,1,155,157,177,2,20,22,5
passenger471,3,1,155,165,169,10,4,14,6
passenger472,16,1,155,162,197,7,35,42,7
passenger473,3,1,156,166,196,10,30,40,8
passenger474,25,1,156,362,388,206,26,232,9
passenger475,23,1,156,160,192,4,32,36,10
passenger476,14,1,156,169,190,13,21,34,11
passenger477,10,1,157,183,194,26,11,37,12
passenger478,19,1,158,189,223,31,34,65,13
passenger479,17,1,158,174,206,16,32,48,14
passenger480,18,1,158,247,268,89,21,110,15
passenger481,14,1,159,163,212,4,49,53,0
passenger482,7,1,159,220,228,61,8,69,1
passenger483,3,1,159,160,216,1,56,57,2
passenger484,8,1,160,163,174,3,11,14,3
passenger485,14,1,160,172,211,12,39,51,4
passenger486,12,1,160,194,243,34,49,83,5
passenger487,14,1,161,212,231,51,19,70,6
passenger488,8,1,161,188,197,27,9,36,7
passenger489,24,1,162,395,420,233,25,258,8
passenger490,10,1,162,227,276,65,49,114,9
passenger491,22,1,162,167,192,5,25,30,10
passenger492,11,1,162,174,190,12,16,28,11
passenger493,12,1,163,179,194,16,15,31,12
passenger494,16,1,163,182,223,19,41,60,13
passenger495,8,1,163,221,270,58,49,107,14
passenger496,7,1,163,186,194,23,8,31,15
passenger497,11,1,164,196,212,32,16,48,0
passenger498,21,1,164,174,208,10,34,44,1
passenger499,5,1,165,226,232,61,6,67,2
passenger500,12,1,166,191,242,25,51,76,3
passenger501,18,1,166,178,211,12,33,45,4
passenger502,18,1,166,204,243,38,39,77,5
passenger503,12,1,166,206,231,40,25,65,6
passenger504,3,1,166,201,259,35,58,93,7
passenger505,2,1,167,193,196,26,3,29,8
passenger506,13,1,167,196,210,29,14,43,9
passenger507,21,1,167,170,192,3,22,25,10
passenger508,2,1,167,193,246,26,53,79,11
passenger509,23,1,167,242,266,75,24,99,12
passenger510,18,1,167,186,223,19,37,56,13
passenger511,2,1,168,209,270,41,61,102,14
passenger512,10,1,169,229,268,60,39,99,15
passenger513,7,1,171,204,212,33,8,41,0
passenger514,24,1,171,179,208,8,29,37,1
passenger515,15,1,171,178,216,7,38,45,2
passenger516,9,1,172,186,242,14,56,70,3
passenger517,8,1,172,224,261,52,37,89,4
passenger518,15,1,172,199,243,27,44,71,5
passenger519,2,1,172,172,193,0,21,21,6
passenger520,8,1,172,188,197,16,9,25,7
passenger521,5,1,173,188,196,15,8,23,8
passenger522,16,1,173,189,210,16,21,37,9
passenger523,18,1,173,276,299,103,23,126,10
passenger524,13,1,173,206,246,33,40,73,11
passenger525,5,1,173,210,266,37,56,93,12
passenger526,10,1,174,238,275,64,37,101,13
passenger527,22,1,174,241,270,67,29,96,14
passenger528,6,1,175,183,194,8,11,19,15
passenger529,5,1,175,220,268,45,48,93,0
passenger530,4,1,176,213,228,37,15,52,1
passenger531,21,1,176,186,216,10,30,40,2
passenger532,4,1,176,179,242,3,63,66,3
passenger533,15,1,176,239,261,63,22,85,4
passenger534,25,1,176,217,243,41,26,67,5
passenger535,17,1,176,253,289,77,36,113,6
passenger536,11,1,177,183,197,6,14,20,7
passenger537,6,1,177,185,196,8,11,19,8
passenger538,2,1,177,213,276,36,63,99,9
passenger539,5,1,177,206,218,29,12,41,10
passenger540,24,1,177,345,370,168,25,193,11
passenger541,5,1,178,210,266,32,56,88,12
passenger542,2,1,178,226,275,48,49,97,13
passenger543,21,1,178,184,206,6,22,28,14
passenger544,12,1,178,233,268,55,35,90,15
passenger545,10,1,179,199,212,20,13,33,0
passenger546,19,1,179,256,282,77,26,103,1
passenger547,14,1,180,253,272,73,19,92,2
passenger548,23,1,181,208,242,27,34,61,3
passenger549,13,1,181,233,261,52,28,80,4
passenger550,19,1,181,207,243,26,36,62,5
passenger551,23,1,182,487,511,305,24,329,6
passenger552,13,1,183,217,259,34,42,76,7
passenger553,8,1,184,205,246,21,41,62,8
passenger554,25,1,184,362,388,178,26,204,9
passenger555,7,1,185,210,218,25,8,33,10
passenger556,2,1,186,193,246,7,53,60,11
passenger557,15,1,186,224,266,38,42,80,12
passenger558,25,1,187,411,437,224,26,250,13
passenger559,4,1,187,213,270,26,57,83,14
passenger560,22,1,187,417,440,230,23,253,15
passenger561,21,1,188,246,268,58,22,80,0
passenger562,24,1,188,321,346,133,25,158,1
passenger563,12,1,188,249,272,61,23,84,2
passenger564,8,1,188,254,265,66,11,77,3
passenger565,14,1,189,236,261,47,25,72,4
passenger566,5,1,189,251,257,62,6,68,5
passenger567,22,1,189,266,289,77,23,100,6
passenger568,17,1,190,225,259,35,34,69,7
passenger569,13,1,191,216,246,25,30,55,8
passenger570,14,1,191,193,210,2,17,19,9
passenger571,19,1,193,279,299,86,20,106,10
passenger572,14,1,193,209,246,16,37,53,11
passenger573,22,1,194,239,266,45,27,72,12
passenger574,24,1,195,198,223,3,25,28,13
passenger575,24,1,195,505,530,310,25,335,14
passenger576,16,1,196,243,268,47,25,72,15
passenger577,19,1,196,242,268,46,26,72,0
passenger578,9,1,196,240,282,44,42,86,1
passenger579,2,1,197,219,232,22,13,35,2
passenger580,11,1,197,281,293,84,12,96,3
passenger581,22,1,197,400,427,203,27,230,4
passenger582,5,1,197,251,257,54,6,60,5
passenger583,15,1,197,249,289,52,40,92,6
passenger584,6,1,198,206,259,8,53,61,7
passenger585,12,1,198,213,246,15,33,48,8
passenger586,5,1,198,218,276,20,58,78,9
passenger587,19,1,198,279,299,81,20,101,10
passenger588,21,1,198,220,246,22,26,48,11
passenger589,20,1,198,233,266,35,33,68,12
passenger590,18,1,199,256,275,57,19,76,13
passenger591,7,1,199,218,270,19,52,71,14
passenger592,14,1,199,239,268,40,29,69,15
passenger593,4,1,200,217,268,17,51,68,0
passenger594,10,1,202,243,282,41,39,80,1
passenger595,14,1,203,253,272,50,19,69,2
passenger596,18,1,203,221,242,18,21,39,3
passenger597,4,1,203,216,261,13,45,58,4
passenger598,21,1,203,211,243,8,32,40,5
