id,source,dest,submit_tick,pickup_tick,dropoff_tick,wait_time,travel_time,total_time,elevator
passenger406,11,23,136,188,236,52,48,100,15
passenger407,19,20,136,136,206,0,70,70,12
passenger408,7,24,136,198,239,62,41,103,15
passenger409,11,17,137,137,191,0,54,54,7
passenger410,18,17,137,139,142,2,3,5,12
passenger411,16,13,138,144,153,6,9,15,9
passenger412,17,23,138,138,201,0,63,63,11
passenger413,10,13,138,140,183,2,43,45,7
passenger414,5,9,139,140,154,1,14,15,4
passenger415,20,17,139,206,236,67,30,97,12
passenger416,6,14,140,140,180,0,40,40,6
passenger417,21,4,140,144,181,4,37,41,13
passenger418,2,10,141,206,216,65,10,75,10
passenger419,17,8,141,147,165,6,18,24,9
passenger420,21,22,142,142,217,0,75,75,14
passenger421,14,10,142,142,154,0,12,12,8
passenger422,2,21,142,167,194,25,27,52,11
passenger423,23,12,142,229,269,87,40,127,13
passenger424,13,19,142,146,188,4,42,46,11
passenger425,18,4,143,478,536,335,58,393,15
passenger426,17,24,144,144,219,0,75,75,12
passenger427,19,13,144,250,262,106,12,118,15
passenger428,14,7,144,144,161,0,17,17,8
passenger429,17,7,144,147,169,3,22,25,9
passenger430,9,7,144,145,149,1,4,5,3
passenger431,9,10,145,145,148,0,3,3,10
passenger432,3,18,145,164,185,19,21,40,11
passenger433,12,24,145,149,204,4,55,59,11
passenger434,5,17,145,156,191,11,35,46,6
passenger435,5,14,145,156,180,11,24,35,6
passenger436,13,12,146,147,150,1,3,4,8
passenger437,17,21,146,146,209,0,63,63,12
passenger438,8,22,147,157,197,10,40,50,11
passenger439,5,8,147,149,154,2,5,7,0
passenger440,8,24,147,157,204,10,47,57,11
passenger441,3,10,148,148,167,0,19,19,6
passenger442,11,21,149,480,526,331,46,377,11
passenger443,13,25,149,223,288,74,65,139,11
passenger444,19,18,149,150,153,1,3,4,13
passenger445,19,5,149,150,178,1,28,29,13
passenger446,12,15,150,150,190,0,40,40,8
passenger447,6,3,150,151,160,1,9,10,1
passenger448,4,20,150,241,273,91,32,123,11
passenger449,17,8,150,214,240,64,26,90,9
passenger450,19,18,150,215,255,65,40,105,13
passenger451,21,23,151,166,236,15,70,85,15
passenger452,23,5,151,236,282,85,46,131,15
passenger453,20,10,151,220,273,69,53,122,13
passenger454,11,17,151,151,169,0,18,18,10
passenger455,16,11,151,210,232,59,22,81,9
passenger456,25,5,151,330,368,179,38,217,15
passenger457,3,1,152,155,173,3,18,21,2
passenger458,21,11,152,320,354,168,34,202,15
passenger459,11,17,152,152,169,0,17,17,10
passenger460,11,15,152,152,164,0,12,12,10
passenger461,2,4,152,152,158,0,6,6,2
passenger462,24,12,152,327,351,175,24,199,15
passenger463,5,10,153,165,172,12,7,19,7
passenger464,9,7,153,154,158,1,4,5,4
passenger465,8,19,153,230,270,77,40,117,11
passenger466,3,8,155,155,164,0,9,9,2
passenger467,12,14,155,155,161,0,6,6,10
passenger468,23,24,155,236,239,81,3,84,15
passenger469,8,14,155,158,186,3,28,31,8
passenger470,1,16,155,159,188,4,29,33,7
passenger471,4,2,155,155,163,0,8,8,1
passenger472,17,5,155,214,245,59,31,90,9
passenger473,12,3,156,156,177,0,21,21,9
passenger474,19,20,156,215,220,59,5,64,13
passenger475,15,21,156,536,599,380,63,443,14
passenger476,11,5,156,179,210,23,31,54,8
passenger477,4,6,157,157,171,0,14,14,1
passenger478,6,9,158,159,164,1,5,6,3
passenger479,6,15,158,159,185,1,26,27,6
passenger480,4,16,158,216,242,58,26,84,6
passenger481,9,18,159,159,200,0,41,41,12
passenger482,13,23,159,160,220,1,60,61,14
