tick,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
441,5,3,7,16,3,13,12,5,14,15,12,2,3,11,5,16
442,5,2,6,17,2,12,13,4,13,14,12,3,2,10,6,15
443,6,1,5,18,1,11,13,3,12,13,12,4,1,9,7,14
444,7,1,4,19,1,10,13,2,11,12,13,4,1,8,8,13
445,8,1,3,20,1,9,14,1,10,11,14,4,1,7,9,12
446,9,2,2,20,2,8,15,1,9,10,15,5,2,6,9,11
447,10,2,1,20,3,7,15,1,8,9,16,5,2,5,9,10
448,11,2,1,21,4,6,15,2,7,8,17,5,2,4,10,9
449,12,3,1,21,4,5,16,3,6,7,18,6,3,3,11,8
450,13,4,2,21,4,4,17,3,5,6,19,7,4,2,11,7
451,13,5,3,22,5,3,18,3,4,5,19,8,5,1,11,6
452,13,6,3,23,5,2,19,4,3,4,19,8,6,1,12,5
453,14,6,3,24,5,1,19,5,2,3,20,8,6,1,13,4
454,14,6,4,25,6,1,19,5,1,2,21,9,6,2,13,3
455,14,7,5,24,6,1,20,5,1,1,22,10,7,3,13,2
456,15,7,6,23,6,2,21,6,1,1,23,11,8,4,14,1
457,15,7,6,22,7,3,22,6,2,1,24,12,9,5,14,1
458,15,8,6,21,8,3,23,6,2,2,25,13,10,6,14,1
459,16,8,7,20,8,3,24,7,2,3,24,14,11,7,15,2
460,16,8,8,19,8,4,25,8,3,3,23,14,12,8,16,2
461,16,9,9,18,9,4,24,8,4,3,22,14,12,8,16,2
462,17,10,10,17,9,4,23,8,5,4,21,15,12,8,16,3
463,17,11,10,16,9,5,22,9,5,5,20,16,13,9,17,3
464,17,12,10,15,10,6,21,10,5,6,19,16,13,10,17,3
465,18,12,11,14,11,7,20,10,6,6,18,16,13,11,17,4
466,18,12,11,13,11,7,19,10,6,6,17,17,14,12,18,5
467,18,13,11,12,11,7,18,11,6,7,16,17,14,13,19,5
468,19,14,12,11,12,8,17,12,7,8,15,17,14,14,20,5
469,20,15,13,10,13,9,16,13,8,9,14,18,15,14,21,6
470,21,16,14,9,14,10,15,14,9,10,13,19,16,14,22,7
471,22,17,15,8,14,10,14,14,10,11,12,19,17,15,23,7
472,23,18,15,7,14,10,13,14,11,11,11,19,18,15,24,7
473,24,18,15,6,15,11,12,15,12,11,10,20,19,15,25,8
474,25,18,16,5,16,12,11,16,12,12,9,21,19,16,24,9
475,24,19,16,4,17,12,10,16,12,13,8,22,19,17,23,10
476,23,19,16,3,18,12,9,16,13,13,7,23,20,18,22,10
477,22,19,17,2,19,13,8,17,14,13,6,24,21,18,21,10
478,21,20,18,1,20,13,7,18,14,14,5,25,22,18,20,11
479,20,20,18,1,21,13,6,19,14,15,4,24,23,19,19,11
480,19,20,18,1,22,14,5,20,15,16,3,23,24,20,18,11
481,18,21,19,2,23,14,4,21,15,17,2,22,25,20,17,12
482,17,22,20,2,24,14,3,22,15,18,1,21,24,20,16,13
483,16,23,21,2,25,15,2,23,16,19,1,20,23,21,15,13
484,15,24,22,3,24,15,1,24,17,19,1,19,22,21,14,13
485,14,25,23,4,23,15,1,23,18,19,2,18,21,21,13,14
486,13,24,24,5,22,16,1,22,19,20,2,17,20,22,12,15
487,12,23,25,5,21,16,2,21,19,21,2,16,19,23,11,16
488,11,22,24,5,20,16,3,20,19,21,3,15,18,24,10,17
489,10,21,23,6,19,17,4,19,20,21,4,14,17,25,9,17
490,9,20,22,7,18,18,5,18,20,22,5,13,16,24,8,17
491,8,19,21,8,17,19,6,17,20,23,6,12,15,23,7,18
492,7,18,20,9,16,20,6,16,21,23,7,11,14,22,6,19
493,6,17,19,10,15,21,6,15,22,23,8,10,13,21,5,20
494,5,16,18,10,14,22,7,14,23,24,8,9,12,20,4,21
495,4,15,17,10,13,23,7,13,24,25,8,8,11,19,3,22
496,3,14,16,11,12,24,7,12,25,24,9,7,10,18,2,23
497,2,13,15,12,11,25,8,11,24,23,10,6,9,17,1,24
498,1,12,14,12,10,24,8,10,23,22,11,5,8,16,1,25
499,1,11,13,12,9,23,8,9,22,21,12,4,7,15,1,24
500,1,10,12,13,8,22,9,8,21,20,12,3,6,14,2,23
501,2,9,11,14,7,21,9,7,20,19,12,2,5,13,2,22
502,3,8,10,15,6,20,9,6,19,18,13,1,4,12,2,21
503,4,7,9,15,5,19,10,5,18,17,14,1,3,11,3,20
504,5,6,8,15,4,18,11,4,17,16,14,1,2,10,4,19
505,6,5,7,16,3,17,12,3,16,15,14,2,1,9,4,18
506,6,4,6,16,2,16,12,2,15,14,15,3,1,8,4,17
507,6,3,5,16,1,15,12,1,14,13,16,4,1,7,5,16
508,7,2,4,17,1,14,13,1,13,12,16,4,2,6,6,15
509,7,1,3,18,1,13,14,1,12,11,16,4,2,5,7,14
510,7,1,2,19,2,12,14,2,11,10,17,5,2,4,7,13
511,8,1,1,20,2,11,14,2,10,9,18,5,3,3,7,12
512,8,2,1,21,2,10,15,2,9,8,19,5,4,2,8,11
513,8,2,1,21,3,9,15,3,8,7,20,6,5,1,9,10
514,8,2,2,21,4,8,15,3,7,6,20,7,6,1,9,9
515,8,3,3,22,5,7,16,3,6,5,20,8,7,1,9,8
516,9,4,4,23,6,6,17,4,5,4,21,9,8,2,10,7
517,10,5,5,24,7,5,17,4,4,3,21,9,9,3,11,6
518,11,5,6,25,8,4,17,4,3,2,21,9,9,3,12,5
519,11,5,7,24,9,3,18,5,2,1,22,10,9,3,13,4
520,11,6,7,23,10,2,18,5,1,1,23,11,10,4,14,3
521,12,7,7,22,11,1,18,5,1,1,24,12,10,5,15,2
522,12,7,8,21,12,1,19,6,1,2,25,13,10,5,16,1
523,12,7,9,20,13,1,20,7,2,3,24,13,11,5,17,1
524,13,8,10,19,13,2,21,8,3,3,23,13,11,6,17,1
525,14,9,10,18,13,2,22,8,4,3,22,14,11,6,17,2
526,14,10,10,17,14,2,23,8,5,4,21,15,12,6,18,3
527,14,11,11,16,14,3,24,9,6,5,20,15,13,7,18,3
528,15,12,12,15,14,4,25,10,7,5,19,15,14,7,18,3
529,16,13,13,14,15,4,24,11,8,5,18,16,14,7,19,4
530,17,14,14,13,16,4,23,12,9,6,17,16,14,8,20,5
531,18,14,14,12,17,5,22,12,9,6,16,16,15,8,21,6
532,18,14,14,11,18,6,21,12,9,6,15,17,15,8,22,6
533,18,14,15,10,18,7,20,13,10,7,14,18,15,9,23,6
534,19,15,16,9,18,8,19,14,11,8,13,19,16,10,24,7
535,20,16,16,8,19,8,18,14,11,9,12,20,17,11,25,7
536,21,17,16,7,19,8,17,14,11,9,11,20,18,12,24,7
537,22,17,17,6,19,9,16,15,12,9,10,20,19,13,23,8
538,23,17,18,5,20,9,15,16,13,10,9,21,20,13,22,9
539,24,18,18,4,20,9,14,17,14,11,8,22,21,13,21,10
540,25,19,18,3,20,10,13,18,15,12,7,23,22,14,20,11
541,24,19,19,2,21,10,12,18,16,13,6,24,23,15,19,11
542,23,19,19,1,21,10,11,18,16,13,5,25,24,15,18,11
543,22,20,19,1,21,11,10,19,16,13,4,24,25,15,17,12
